rna	k9ac	k36ac
DENND4A	1.44145	0.857531	0.0614302
DENND4B	0.0491504	0.80407	-0.058313
DENND4C	1.22239	8.78901	-0.573613
DENND5A	0.226596	3.09062	-1.39678
DENND5B	1.24563	0.179186	-0.0461011
DENND6A	-0.407082	1.89197	0.0451288
DENR	-0.0158675	1.09201	-0.431288
DEPDC5	0.11211	1.6845	-0.567624
DEPDC7	-0.0596313	4.46043	-0.0384292
DEPTOR	1.27881	3.04321	0.451491
DERA	-0.663834	2.94925	0.102363
DERL1	0.591301	4.7442	0.923727
DERL2	-0.455237	1.92064	0.112982
DERL3	-0.516521	3.98916	0.104361
DES	-0.031146	8.56807	-0.137155
DESI1	-0.319881	0.334826	-0.510872
DESI2	1.23311	4.50235	0.180443
DET1	0.0787431	0.306454	0.303751
DFFB	0.00394668	-0.631177	-3.36338
DFNA5	0.462925	0.131452	-1.48392
DFNB59	-0.787117	-0.00492633	-0.573025
DGAT1	-0.917401	0.630176	-3.39348
DGAT2	0.676949	-0.504854	-0.113745
DGCR14	-0.661891	3.69857	-1.9013
DGCR2	-0.069309	0.317219	-4.94556
DGCR8	-2.39694	2.59298	-2.73173
DGKA	-0.4523	-0.0722281	-1.36881
DGKD	0.539324	7.52022	-0.400012
DGKE	-0.224237	3.92381	-0.0658956
DGKG	-0.0563894	-0.379962	-0.926377
DGKH	-0.243568	3.64606	1.95641
DGKQ	0.0331258	-0.0943968	-11.3204
DGKZ	-0.0877084	4.95928	-0.992696
DGKZP1	-0.657577	-0.682578	-1.15433
DGUOK	-0.886271	3.82574	1.27087
DHCR24	0.354945	-0.115123	-0.437498
DHCR7	0.20959	-2.79019	-2.10198
DHDDS	-0.615264	1.8327	-0.860941
DHFRP1	-0.293466	-0.492411	-0.665556
DHODH	0.0337818	0.399247	-1.54049
DHPS	-0.125215	0.793004	-0.932478
DHRS1	-1.88014	1.56217	-0.181791
DHRS11	0.136228	1.57078	-1.68409
DHRS12	-0.246787	0.863005	-1.1691
DHRS3	-2.69887	5.44856	0.796053
DHRS4L2	-0.543349	0.0946772	-0.0111281
DHRS7	-0.0595402	9.95591	2.33329
DHRS7B	-1.57979	14.7264	1.7896
DHRS7C	-0.96535	1.02173	0.128357
DHRSX	-0.0371511	-2.08884	-2.65204
DHTKD1	0.491892	1.76058	-1.49845
DHX15	1.77383	5.87097	-0.336244
DHX16	0.854223	0.854885	-1.9538
DHX29	0.0376224	2.39836	0.885745
DHX30	0.407938	2.99929	-1.52197
DHX32	-0.0026256	-0.210286	0.323433
DHX33	-0.331415	1.02177	0.0544935
DHX34	-0.324069	1.27538	-2.02142
DHX35	-1.34505	-0.320816	0.277434
DHX36	1.25571	6.16968	0.0813779
DHX37	0.403888	-0.509528	-7.81037
DHX38	0.0820803	-0.575188	-3.60668
DHX40	0.118084	1.3412	-0.162297
DHX57	-0.644705	-0.155083	0.169003
DHX58	-0.393491	0.75146	-3.63727
DHX8	0.485026	9.22242	-0.0873656
DHX9	0.982837	4.89654	-0.0782167
DHX9P1	0.272345	0.230617	-0.471735
DIABLO	-0.0883157	2.92067	-2.62831
DIAPH1	0.486707	2.6695	-0.944399
DIAPH2	0.559862	1.9597	0.500138
DICER1	0.948326	6.88231	0.136638
DICER1-AS1	-0.571257	0.524065	-0.157864
DIDO1	-0.0521214	5.04386	-0.88462
DIEXF	-1.12558	2.31349	-1.14443
DIMT1	0.857442	1.65253	0.205602
DIO2	-0.0969259	-0.466048	0.165539
DIO3OS	-3.45079	-3.10862	-0.759591
DIP2A	-0.734113	1.21889	-4.01717
DIP2B	0.664885	6.16303	0.231052
DIP2C	3.48551	2.68662	-1.76102
DIRAS1	-0.451955	-1.17397	-4.98395
DIRAS3	-1.0312	0.134359	0.162134
DIRC2	0.420472	3.02125	0.0291051
DIRC3	-0.331953	4.2203	0.392055
DIS3L	0.333687	0.341106	-0.927789
DIS3L2	-0.080972	0.889013	-2.87945
DISC1	-0.719236	1.70227	0.332179
DISP1	-0.302252	6.85359	-0.192897
DIXDC1	1.60362	6.1542	0.55251
DKC1	-0.394082	7.41705	0.163442
DKFZP586I1420	0.227307	0.628615	0.222424
DKK2	-0.107907	1.27051	-1.64049
DKK3	-0.120989	-0.225241	-0.942793
DLAT	0.786248	6.77461	0.646225
DLC1	3.30598	0.402236	0.0503053
DLD	0.284934	5.38049	-0.319793
DLEU1	0.425741	0.190216	0.618096
DLG1	0.051773	5.72962	0.450099
DLG2	-0.24809	0.491882	0.867706
DLG3	-0.546488	0.302681	-0.100894
DLG4	-0.216856	0.0817721	-0.982191
DLG5	1.77432	0.486233	-3.49881
DLGAP1-AS1	-0.555938	3.41784	0.5213
DLGAP4	0.0162734	4.51697	-1.46376
DLK1	-0.21911	-1.84518	-1.91471
DLL1	4.48732	1.08096	-1.59175
DLL4	3.57409	1.329	-3.83962
DLST	-0.17905	4.3361	-0.601506
DMAP1	-0.912935	1.90826	-4.1471
DMD	4.98976	8.27475	0.235878
DMGDH	0.497167	-0.550338	1.36729
DMPK	-0.452867	2.78738	-1.09451
DMRT2	-1.34247	5.05057	-2.7845
DMRTA1	0.153055	1.93983	0.871654
DMTF1	-2.00692	5.11334	-0.148269
DMTN	-0.212176	0.811409	-0.212532
DMWD	-0.239712	2.93752	-0.276908
DMXL1	1.16806	2.18977	-0.0579531
DMXL2	0.434847	0.108168	2.41293
DNA2	-0.326813	0.755971	-1.61346
DNAH1	-0.348652	-1.15477	-8.85914
DNAH10	-0.473726	-1.48638	-0.95814
DNAH10OS	0.188786	-1.00756	-1.12096
DNAH11	0.201824	-0.377568	4.2198
DNAH12	-0.707948	0.0336048	1.68776
DNAH17	-0.140334	-1.80882	-5.25571
DNAH3	0.0311021	-0.843304	-1.05182
DNAJA1	7.75302	0.858482	-1.44676
DNAJA1P3	0.251638	-0.283485	-0.293733
DNAJA2	0.22703	1.03849	0.468788
DNAJA3	-0.0152632	0.150092	-3.55242
DNAJA4	2.44582	1.01386	-1.18587
DNAJB1	35.128	2.4327	0.138612
DNAJB11	-0.85243	0.0784712	-0.144889
DNAJB12	-0.326175	2.74425	-0.620563
DNAJB14	1.23765	1.32492	0.792912
DNAJB2	-0.167527	1.14924	-0.533136
DNAJB4	6.96937	1.85238	0.71855
DNAJB5	1.7685	18.3932	1.71714
DNAJB6	0.346727	12.4678	-1.77065
DNAJB9	0.888056	1.77305	0.177136
DNAJC1	-0.692676	5.43032	-0.725606
DNAJC10	-0.190856	2.80781	0.0551961
DNAJC11	-0.142912	0.667859	-4.1746
DNAJC12	-1.22018	3.5972	-0.0466365
DNAJC13	1.33869	4.54633	-0.542722
DNAJC15	-0.520126	5.75627	0.226737
DNAJC16	-0.369446	1.08613	-1.01198
DNAJC17	-0.00579301	0.544017	-3.2193
DNAJC18	-0.739822	8.31787	0.0156154
DNAJC19P9	-0.991285	-0.171223	0.18614
DNAJC2	-1.85651	1.18223	-2.40367
DNAJC21	0.513439	4.43392	-0.302271
DNAJC24	0.480724	-0.290639	0.58158
DNAJC28	0.2102	3.93157	-0.128966
DNAJC5	0.131948	4.84364	-2.94142
DNAJC7	-2.24335	6.57338	-1.14798
DNAJC8	-0.240724	6.30516	-0.183727
DNAJC9	0.592112	0.56394	1.30413
DNAL1	-0.248789	2.9307	-0.398471
DNALI1	0.629584	-1.70819	-3.09004
DNASE1	0.253179	0.376854	-0.730279
DNASE1L1	-0.227243	2.11629	-1.38715
DNASE2	-0.337259	-0.321504	-0.372268
DNHD1	-1.55216	0.126579	-2.14092
DNM1	-0.926536	-0.25	-1.08035
DNM1L	0.672357	2.46917	-0.00368924
DNM2	0.80734	0.440051	-5.68251
DNM3	0.0880964	2.00856	-0.202405
DNMBP	0.76092	2.83321	-0.808819
DNMT1	-0.395957	-0.135641	-5.28891
DNMT3A	0.519433	0.891597	-1.08756
DNPEP	0.0620262	1.83247	-0.230375
DNPH1	0.36135	0.574339	-0.526152
DNTTIP1	0.0822775	4.85152	0.0373367
DNTTIP2	-0.444766	8.04715	-0.59505
DOC2B	6.95908	-0.514882	-3.25544
DOCK1	0.611416	-1.20532	-0.532327
DOCK10	0.288703	2.04955	2.2285
DOCK11	-0.408363	2.70359	0.307298
DOCK4	0.771969	-0.00312523	1.27366
DOCK5	-0.381055	-1.20055	-0.0449418
DOCK6	1.95336	-0.351745	-3.20381
DOCK7	0.339417	0.634347	1.5023
DOCK8	-0.325389	-0.768927	0.484951
DOCK9	0.279913	1.24075	-0.379811
DOHH	-2.16606	1.31415	-2.69395
DOK1	-0.253061	-0.721433	-1.25978
DOK3	-0.752577	-0.122404	-0.930108
DOK4	-0.128073	0.139463	-1.88219
DOK5	-0.191064	3.54765	0.558093
DOK7	0.791963	7.1326	0.893469
DOLPP1	0.932123	2.3104	-2.90553
DONSON	-0.0187463	2.93795	-1.10217
DOPEY1	0.246667	2.75356	1.45182
DOPEY2	0.1747	0.4431	-1.45422
DOT1L	0.077939	-0.213708	-2.88952
DPAGT1	-1.52964	0.335795	2.26861
DPCD	-0.392456	0.276336	-3.22007
DPEP2	-0.0488632	1.39024	-0.215259
DPF2	0.159623	3.36716	-1.21441
DPF3	-0.147555	3.67241	-0.291331
DPH1	-1.15838	2.29002	-1.97242
DPH2	-0.549795	1.84221	-0.0202846
DPH5	-1.88163	1.41511	-0.311588
DPH6	1.37649	1.03527	1.12938
DPH7	-1.28621	2.5957	-2.04104
DPM1	-0.0465595	0.885405	-0.271093
DPM3	-0.346447	0.541399	-0.0322021
DPP3	0.157234	-0.717459	-0.951892
DPP4	-0.0304526	0.126619	0.511725
DPP6	0.310856	-3.5487	-7.33174
DPP7	-2.04546	0.058713	-2.98216
DPP8	1.81805	4.51288	-0.270572
DPP9	0.922167	7.13976	-0.116486
DPT	-0.316233	0.69007	0.0402182
DPY19L1	1.77631	1.26057	0.891933
DPY19L1P1	0.628733	0.607178	-0.551314
DPY19L2P2	-0.141825	2.07719	-1.07251
DPY19L2P3	0.061905	0.0153822	0.30406
DPY19L3	1.38626	0.788525	-0.065833
DPY19L4	1.27105	5.45354	-0.436068
DPY30	-0.511742	2.89962	-0.12198
DPYD	2.19439	9.52235	0.456249
DPYSL2	0.965295	0.606473	-2.20041
DPYSL3	0.145047	1.20182	0.699661
DPYSL4	-0.664896	-3.66133	-4.54446
DR1	0.23781	1.59311	-0.202921
DRAM1	0.420469	2.94978	-0.699233
DRAM2	-0.340316	0.445562	-0.022718
DRAP1	0.298919	0.869419	-0.352509
DRD2	-0.629863	-3.29284	-0.235728
DRG1	-0.392275	4.50356	-0.632694
DRG2	-0.298999	1.76739	-1.21372
DROSHA	0.145117	1.31057	-0.112125
DSCAML1	-0.762553	-0.32519	-2.15487
DSCC1	-0.080821	1.81359	-0.189215
DSCR3	0.485926	-0.238277	-1.07751
DSE	0.395272	8.81274	2.25518
DSG2	0.122519	0.674775	-0.0372184
DSN1	-1.41333	3.56087	0.114255
DST	1.15868	18.3627	-0.370926
DSTN	-1.35859	0.501234	-0.0639796
DSTYK	0.600036	6.96825	0.193135
DTD1	0.0238751	0.235513	-1.1635
DTNA	-0.0210405	11.7101	2.13987
DTNB	-1.52979	1.55303	-0.0641835
DTNBP1	-0.742143	2.98831	1.0154
DTWD2	0.0831364	3.66988	-0.0940551
DTX2	0.967674	-0.0265852	-3.07451
DTX3	-0.408027	0.0659775	-1.20534
DTX4	-0.121468	0.079767	-1.68872
DTYMK	-0.697964	1.21912	-0.322647
DUOX1	-0.626891	-0.3048	-0.546077
DUPD1	-0.163916	0.9604	0.0205712
DUS1L	-0.598969	0.317232	-3.10614
DUS2	-0.805061	4.88054	0.116294
DUS3L	-0.267964	2.18239	-0.516572
DUS4L	-0.183205	2.94397	-0.576364
DUSP1	4.82037	14.1304	6.79668
DUSP10	-0.650263	10.5882	4.5802
DUSP11	-0.038419	2.76648	0.909506
DUSP12	0.608163	2.72554	0.0821792
DUSP13	-0.876691	5.50331	-0.137789
DUSP14	0.793815	1.78521	-0.344277
DUSP16	3.26107	10.3715	0.252228
DUSP18	0.585915	1.28931	-1.57144
DUSP19	-0.194001	8.09731	5.51518
DUSP2	7.17265	-0.150884	-0.212308
DUSP22	0.049522	0.340724	-0.801111
DUSP23	0.809161	2.37813	-0.115429
DUSP26	-1.23172	4.97584	2.92103
DUSP27	1.70145	5.82784	0.832952
DUSP3	0.495267	12.0823	2.58715
DUSP4	-0.0680468	1.84218	-1.51093
DUSP5	6.3367	5.17576	-0.31779
DUSP6	-5.13885	1.21823	-1.05053
DUSP7	0.400726	1.89845	-0.102963
DUSP8	2.76005	0.383012	-0.512142
DUSP8P5	-0.279746	0.491398	0.263912
DUT	-0.554124	1.99596	-0.412385
DVL1	0.545964	3.09765	-0.013606
DVL2	-0.39129	3.48907	-1.37281
DVL3	0.0374307	4.29805	-0.25271
DYM	-0.0677548	2.84522	1.47758
DYNC1H1	2.73884	1.31536	-5.58789
DYNC1I1	-0.0238762	1.53199	0.481771
DYNC1I2	0.195742	6.19233	-0.230461
DYNC1I2P1	-0.448995	-0.221974	0.292578
DYNC1LI1	0.503542	6.34101	0.526395
DYNC1LI2	1.82779	1.01824	-0.886817
DYNC2H1	-0.396349	0.314825	0.958069
DYNC2LI1	1.22603	1.4831	-0.156174
DYNLRB1	-1.35584	4.02979	-0.820763
DYNLT1	-1.46899	5.46464	1.93854
DYNLT3	0.48841	1.75733	0.057926
DYRK1A	-0.246664	9.82046	0.0476928
DYRK1B	0.318627	3.10468	0.0833116
DYRK2	-0.172121	6.09524	1.80946
DYRK4	-1.28295	-0.0564171	-0.135036
DYSF	-0.00738206	2.66438	-1.73315
DZIP1	0.508196	0.294735	-0.144245
DZIP3	-0.198096	1.10855	-0.785589
E2F3	0.612691	3.85765	-0.0318787
E2F4	0.287569	1.34628	-1.38745
E2F5	0.314384	1.26799	1.31572
E2F6	0.780412	5.48603	-1.09221
E2F8	-0.184324	3.64646	-0.668206
E4F1	-0.424517	0.830126	-2.50283
EAPP	-0.392739	0.87559	-0.0534998
EARS2	-0.0365883	-0.85522	-2.36553
EBAG9	0.0270385	9.58702	1.64895
EBF1	-0.848125	-0.201302	0.55387
EBF2	0.395328	2.42617	-2.31479
EBF3	0.811842	2.34436	-1.18325
EBF4	0.798241	-1.14271	-3.7956
EBLN2	-0.0776593	2.61413	0.439214
EBNA1BP2	-0.267058	-0.304004	0.259934
EBP	-1.09505	-1.2389	-0.277811
EBPL	-0.834152	4.91613	-0.0940271
ECD	-0.522383	0.71948	-0.58471
ECE1	0.472417	0.837354	-1.62032
ECE2	0.0921887	-1.02179	-2.51005
ECEL1	-0.0470854	-1.50276	-3.12848
ECH1	-0.390556	4.42037	-0.000265436
ECHDC1	-0.0690859	6.31336	1.10314
ECHDC2	-2.9487	2.5325	0.788204
ECHDC3	-0.116285	0.806923	-0.140896
ECI1	-0.689156	2.9486	-0.550664
ECI2	-0.43777	-0.238006	-0.140992
ECM1	0.0436784	0.851503	-1.61826
ECM2	0.553455	2.44744	0.428916
ECSIT	-0.44022	2.62079	-2.27256
ECT2	0.492811	3.86444	1.9517
EDA	-0.392856	0.850529	-0.119377
EDA2R	0.163659	-0.277571	0.254762
EDC3	-0.40565	5.4705	-0.705321
EDC4	-0.182082	3.8465	-0.980482
EDEM1	-0.219072	0.631997	0.155258
EDEM2	-0.248292	4.87286	-1.69052
EDEM3	2.42689	3.78645	0.400216
EDF1	-0.731409	2.25038	-1.11635
EDN1	1.0347	0.812706	-1.10016
EDN3	-0.326942	-0.893683	-1.82518
EDNRA	-0.150821	0.117085	0.178079
EDNRB	1.23891	1.74372	0.28723
EDRF1	0.0583098	0.809939	0.474224
EEA1	1.82156	5.5876	2.14103
EED	-0.0673722	12.271	-0.0672118
EEF1A1	0.00681772	4.86646	-0.857219
EEF1A1P5	-0.431936	0.281938	-0.169525
EEF1A2	0.153995	6.93464	-0.465828
EEF1B2P3	-0.887488	-0.0361071	-0.0198568
EEF1D	-0.285055	0.681197	-5.76396
EEF1DP1	0.156964	-0.146006	0.136988
EEF1DP5	0.0130115	0.01082	-0.0445097
EEF1E1	-0.834596	-0.722834	-0.41038
EEF1GP1	0.155582	0.4008	-0.621531
EEF2	0.170113	4.34454	-2.61797
EEF2K	0.113153	3.35366	-0.0515354
EEFSEC	-0.782623	0.0814675	-2.86433
EEPD1	-1.37015	5.76485	0.259092
EFCAB11	-0.649835	0.092723	0.621281
EFCAB13	0.0846483	0.601121	-0.958329
EFCAB14	0.335305	6.86275	-0.690879
EFCAB2	-0.298584	-0.238093	-0.145857
EFCAB6	0.0860654	-1.85173	-0.282525
EFCAB7	-0.0710206	1.27055	0.107034
EFCC1	-0.242619	-0.449348	-1.54438
EFEMP1	-0.216964	-0.72637	0.482019
EFEMP2	0.145674	0.572268	-4.12317
EFHC1	0.725729	4.11549	-0.488849
EFHD1	0.173502	1.45601	-0.895076
EFHD2	0.771912	1.29744	-0.0448675
EFNA1	-1.03619	1.7515	-0.880893
EFNB1	1.56582	3.69812	-0.712229
EFNB2	1.96115	4.4064	-3.17961
EFR3A	3.14149	5.52011	-0.553818
EFR3B	2.94281	1.34837	-0.957954
EFS	-0.0748445	-0.256754	-1.4255
EFTUD1	0.151202	0.269097	1.43784
EFTUD2	0.93077	0.438919	-0.896712
EGF	-0.466464	6.06981	-0.337967
EGFL7	-0.242853	0.499778	-5.12163
EGFL8	-0.00160347	0.202916	-5.96595
EGFLAM	0.0664696	7.54993	0.422186
EGFR	1.31653	3.25101	0.410135
EGLN1	1.82454	11.8603	2.99974
EGLN2	0.421272	0.343521	-3.9313
EGLN3	0.234528	4.74238	1.65658
EGR1	5.8059	3.87077	-0.378114
EGR2	4.18899	2.89841	-0.170938
EGR3	4.33084	2.18133	0.613143
EHBP1	1.31533	1.82909	1.30565
EHBP1L1	0.131642	7.68518	0.325033
EHD1	0.648228	2.76017	-2.9097
EHD2	-0.401022	0.953891	-2.07498
EHHADH	-0.228552	-0.207317	1.14379
EHMT1	0.250036	-0.743863	-4.32057
EHMT2	-1.40292	-0.482083	-3.10913
EI24	-0.679827	2.50272	-2.71559
EI24P2	1.05476	-0.0418216	3.44718
EID2	-0.500149	2.9031	-0.381653
EIF1	-0.393	5.15936	-0.181241
EIF1AD	0.112581	0.608206	0.0892216
EIF1AY	-1.37591	0.385619	0.161618
EIF1B	-0.0501671	7.89966	-0.214927
EIF1P3	-1.17215	2.07533	-0.0344958
EIF1P5	0.0793088	2.5234	-1.41837
EIF2A	-0.140326	0.205669	-1.06119
EIF2AK1	0.534243	1.32551	0.100692
EIF2AK2	1.6047	1.45422	-0.162148
EIF2AK3	0.0890756	2.93563	-0.23274
EIF2AK4	0.577959	3.88157	-0.52509
EIF2B1	-1.46232	-0.165124	0.0872022
EIF2B2	-0.650758	3.85573	-0.25988
EIF2B3	-0.0935264	2.23092	-4.36775
EIF2B4	-0.887165	0.465753	-0.295721
EIF2B5	-1.47107	2.9887	-1.45286
EIF2D	-0.515486	3.61416	-1.16112
EIF2S1	0.263984	0.512066	-1.20744
EIF2S2	-0.817821	6.38211	1.32559
EIF2S2P3	0.0297879	-0.659149	-0.76166
EIF2S2P4	-1.52504	0.0768251	0.541437
EIF2S3	-0.00772601	3.74466	0.603801
EIF2S3L;	1.38067	0.0110612	-0.0361291
EIF3A	2.30814	7.30796	-0.28192
EIF3B	-1.20513	0.379536	-3.98754
EIF3C	0.907083	0.886212	-0.412348
EIF3D	-0.596623	2.96685	-2.27029
EIF3E	-0.17146	2.21271	0.326862
EIF3EP1	-0.185314	0.577509	0.555045
EIF3F	-0.0120907	2.99782	-0.372518
EIF3FP3	-0.542913	-0.281446	0.236436
EIF3G	-0.262162	1.31427	-2.21311
EIF3H	-0.767795	4.62683	0.0422475
EIF3IP1	-0.830605	-0.434621	0.585856
EIF3J	0.260707	2.49572	-0.761826
EIF3J-AS1	-0.924698	-0.0209657	-0.0553979
EIF3K	-1.82863	0.445823	-3.4099
EIF3KP1	-0.681292	0.0159998	0.0136355
EIF3KP2	-0.0750404	0.383141	0.93451
EIF3KP3	-0.104795	-0.43853	5.03695
EIF3L	-0.362965	1.786	-0.180881
EIF3LP1	-0.499686	-0.371428	0.109111
EIF3LP2	-0.0431336	0.0616185	0.480902
EIF3M	0.375018	2.23862	-0.396351
EIF4A1P10	1.29037	-0.524418	-0.0881448
EIF4A2	0.166972	0.292854	-0.527127
EIF4A2P4	0.026401	0.367944	-0.0419792
EIF4A3	2.68807	0.406568	-0.351356
EIF4B	0.423567	6.00175	-0.0669374
EIF4BP3	2.60978	-0.74504	0.58735
EIF4BP6	0.811614	-0.0538999	0.975435
EIF4BP8	0.540531	-0.608176	-0.328612
EIF4BP9	0.214113	-2.03304	0.42518
EIF4E	-0.32587	0.231576	-0.112618
EIF4E2	-1.93248	7.23251	-0.177672
EIF4E3	0.144515	2.31618	-0.0463405
EIF4EBP1	-0.0777691	2.82082	-0.707638
EIF4EBP2	1.19784	6.44258	-0.0812175
EIF4EBP3	0.0917857	2.50808	0.14481
EIF4ENIF1	0.265866	1.68343	-1.57785
EIF4EP2	0.556534	-0.490279	-0.422171
EIF4G1	0.859745	8.96338	0.0030179
EIF4G2	1.19329	2.67432	-0.838095
EIF4G3	0.510443	5.06603	1.21036
EIF4H	0.130645	5.66003	1.25233
EIF4HP1	0.391427	-0.0694154	-0.533446
EIF5	-0.0467949	0.17202	0.126992
EIF5A	-0.533401	3.48683	0.151972
EIF5A2	0.076937	0.0161096	-0.203048
EIF5B	-0.805667	0.568039	0.0336437
ELAC2	-1.75953	1.36592	-0.293633
ELAVL1	-0.492115	1.33574	-2.46018
ELF1	0.764546	7.35411	0.58974
ELF2	-0.112966	9.99611	0.0684059
ELF4	1.73681	2.79367	-0.32462
ELK1	-0.0667333	2.24504	0.0159534
ELK3	0.625377	0.602682	-0.818103
ELK4	1.57171	7.03802	0.0744714
ELL	1.44576	3.75803	0.283284
ELL2	3.24983	1.53165	-0.17575
ELMO1	-0.290424	-0.094874	0.434776
ELMO2	-0.141962	0.965688	-3.05514
ELMO3	0.601512	1.12745	-1.83058
ELMOD1	-0.239414	1.85016	0.218552
ELMOD2	-0.455546	3.51091	0.00413725
ELMOD3	-0.365689	0.300782	-0.842948
ELMSAN1	1.49766	5.93434	-1.14664
ELN	-0.521291	-0.19229	-2.35793
ELOF1	-0.486628	0.175753	-1.34316
ELOVL1	-0.239072	2.71879	-0.225417
ELOVL6	-0.956048	1.39801	-0.240363
ELP2	0.111789	1.61211	-1.63268
ELP3	-0.513319	1.94333	0.540006
ELP5	-0.764665	1.12766	0.0590312
ELP6	-1.43247	4.92257	-0.950728
ELTD1	0.263249	1.1868	1.48912
EMC1	-0.0444288	2.56276	-1.72613
EMC2	-0.459801	6.40518	0.403065
EMC3	-1.79809	11.848	1.08452
EMC3-AS1	-0.0754419	-0.273726	-0.3706
EMC4	-0.152796	3.62157	0.841831
EMCN	0.478668	1.6186	0.67701
EMD	-0.253947	5.56041	0.0224063
EME2	0.0147114	-0.369948	-3.39515
EMILIN1	0.404854	0.61615	-0.226274
EMILIN2	-0.00907779	-0.478031	-2.31473
EML1	0.485763	4.59659	-1.00729
EML2	-0.209442	0.30957	-3.74457
EML4	2.24312	0.232463	1.12568
EML6	0.0649325	2.15954	2.11541
EMP1	5.47871	3.83302	-0.0728689
EMP2	-0.313147	2.67241	-0.511129
EMP3	-0.0498205	2.20172	-1.7297
EMX2OS	0.932187	0.00562974	-0.475167
EN1	-0.90902	3.90027	-0.405723
ENAH	3.24504	10.5025	1.72536
ENAM	0.147832	3.6994	1.71253
ENC1	-5.80435	0.440845	-1.36099
ENDOD1	0.170931	2.59615	1.95616
ENDOG	-0.0469126	2.39436	-0.484736
ENDOV	0.0449403	1.45014	-1.66969
ENG	1.70099	4.1653	-1.80945
ENGASE	-2.38996	0.462735	-3.42392
ENO1	-0.769921	0.7944	-1.51477
ENO2	-1.52764	-0.260068	-0.243277
ENO3	-0.202454	9.22573	-2.41036
ENOPH1	-0.674982	0.659717	-0.913664
ENOSF1	-0.141049	0.0256421	-0.413283
ENOX1	0.242742	2.60382	-0.189227
ENOX2	-0.545683	3.82326	-0.227686
ENPEP	0.547563	7.38387	0.782739
ENPP1	1.09724	2.31352	0.299535
ENPP2	1.07032	0.455349	0.239065
ENPP5	-0.0983527	5.20184	0.219584
ENSA	0.0670691	9.61625	-0.0814092
ENSAP2	0.0877867	-0.651687	0.580196
ENTHD2	-0.403849	-1.5845	-3.39088
ENTPD1	0.207194	-0.522677	0.174001
ENTPD1-AS1	1.24489	2.77695	0.164187
ENTPD3	1.28828	0.392723	-0.235692
ENTPD3-AS1	-0.274488	6.27413	0.208561
ENTPD4	-0.247178	0.37674	-0.347844
ENTPD5	0.00441261	0.22489	-0.687857
ENTPD6	-0.128575	1.12375	-1.20906
ENTPD7	0.116836	1.4501	-0.370845
ENY2	0.0113916	0.955202	0.278898
EOGT	1.20378	1.22178	0.0150998
EP400	1.01816	0.910306	-2.22455
EP400NL	0.895094	-0.454209	-1.37096
EPAS1	2.35252	3.16484	-1.85084
EPB41	0.167365	1.81615	-0.273709
EPB41L1	-0.0204443	-0.561813	-3.79027
EPB41L2	2.15568	2.97222	0.493987
EPB41L3	0.169043	-1.06225	0.468051
EPB41L4A	0.630348	0.636073	2.40138
EPB41L4A-AS1	-2.45035	0.291931	-0.0120572
EPB41L4B	0.104313	0.367836	-1.10881
EPB41L5	0.811849	3.58261	0.0210246
EPC1	0.709148	15.563	0.677472
EPC2	0.365937	2.45379	-0.495317
EPDR1	-1.00589	3.00035	0.394629
EPG5	1.09235	2.92056	-0.092459
EPHA2	8.667	0.140684	-0.995313
EPHA3	1.34048	0.52084	-0.123595
EPHA4	-0.23634	1.23129	0.748042
EPHB1	0.280331	0.621604	-0.751828
EPHB4	1.63565	-1.09246	-1.509
EPHB6	0.114115	-0.19627	-3.96726
EPHX1	0.0431449	4.46008	-1.61954
EPHX2	-0.220071	0.0885437	-0.879144
EPM2A	1.38659	0.736846	0.774718
EPM2AIP1	-0.0414921	3.73253	0.2987
EPN1	0.240306	-1.06028	-4.67252
EPN2	0.890604	2.06189	-1.08054
EPOR	0.2021	1.29841	-1.24296
EPRS	1.02776	1.76213	-0.90098
EPS15	0.952342	0.695219	-0.459609
EPS15L1	0.136994	2.46902	-1.52925
EPS8	1.63777	3.22386	1.12931
EPSTI1	-0.641973	1.99977	0.00976671
EPT1	0.0785315	-0.443192	-0.890479
ERAP1	2.46009	1.11955	0.432917
ERAP2	-0.944285	4.94026	1.24368
ERBB2	-0.865492	1.55517	-5.14289
ERBB2IP	1.31397	3.40385	0.281142
ERBB3	-2.13759	-0.0171765	-2.58262
ERBB4	0.454806	3.54552	0.961506
ERC1	1.77064	2.7759	0.334403
ERCC1	-0.364294	4.62497	-0.638783
ERCC2	-1.03989	-0.117806	-3.11092
ERCC3	-0.0194355	0.922086	-0.745118
ERCC4	-0.0518491	3.46951	-0.118579
ERCC5	-0.0519457	8.56492	1.02274
ERCC6	1.16449	1.74545	-0.182079
ERCC6L2	1.96169	1.1471	0.202136
ERCC8	0.241347	0.000205912	0.000932215
ERF	13.158	0.13423	-0.560639
ERG	-0.199105	-0.989794	-0.611762
ERGIC1	0.113336	5.57568	0.673292
ERGIC2	-0.0440207	5.49574	-0.358434
ERGIC3	-1.16647	-0.0632612	-1.71258
ERH	-0.060831	1.07397	-0.742948
ERHP1	0.825143	0.428798	-0.0894424
ERI1	0.262455	2.06947	0.663147
ERI2	-1.8545	1.98826	-0.305283
ERI3	-0.821076	1.50899	-1.60958
ERICH1	-0.517439	0.114296	-3.77951
ERLIN1	0.378653	8.22622	-0.0851427
ERLIN2	0.0111007	0.482287	-0.542931
ERMAP	-0.483823	0.0563355	-0.266921
ERMARD	-4.02125	0.163905	0.104489
